Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.07791E-9,0.000000708,0.000009378,1,0,0
7.26785E-9,0.000001435,0.000009629,0.999900239,0,0
7.47517E-9,0.000002916,0.000009904,0.999700718,0,0
9.00458E-9,0.000010517,0.00001193,0.998802873,0,0
1.04231E-8,0.000025429,0.00001381,0.997306464,0,0
1.18692E-8,0.000050129,0.000015726,0.995111732,0,0
1.39395E-8,0.000101034,0.000018469,0.991221069,0,0
1.6976E-8,0.000251241,0.000022492,0.981544294,0,0
2.082E-8,0.000500608,0.000027584,0.968375898,0,0
2.90437E-8,0.001001531,0.00003848,0.948224262,0,0
5.91606E-8,0.002505671,0.000078378,0.912609737,0,0
1.12079E-7,0.005004228,0.000148476,0.882182761,0,0
2.23041E-7,0.010001026,0.000295427,0.852653631,0,0
4.27187E-7,0.025027482,0.000565676,0.804868316,0.007575758,0
7.55736E-7,0.05002362,0.0010003,0.762270551,0.007575758,0
1.01647E-6,0.100022774,0.001344946,0.706504389,0.007575758,0
1.36264E-6,0.20010814,0.001802161,0.622605746,0.007575758,0
1.82479E-6,0.300153322,0.002411901,0.559357542,0.007575758,0
2.40574E-6,0.400192153,0.003177322,0.511472466,0.007575758,0
3.12009E-6,0.500240548,0.004116902,0.474960096,0.007575758,0
3.93881E-6,0.600277271,0.005191579,0.446428571,0.007575758,0
4.96647E-6,0.700441665,0.006537237,0.423782921,0.007575758,0
5.46903E-6,0.75016196,0.007193993,0.414305666,0.007575758,0
5.98484E-6,0.800477036,0.007867149,0.405526736,0.007575758,0
7.11444E-6,0.900193819,0.00933816,0.390163607,0.007575758,0
8.27185E-6,1.000093857,0.010840863,0.377194733,0.007575758,0
9.59794E-6,1.100707329,0.012556973,0.365921788,0.007575758,0
1.09448E-5,1.200128433,0.014293869,0.356245012,0.007575758,0
1.22109E-5,1.300803648,0.015921124,0.347565842,0.007575758,0
1.38548E-5,1.401376483,0.018025844,0.339784517,0.007575758,0
1.52689E-5,1.500021817,0.019829235,0.333000798,0.007575758,0
1.81506E-5,1.750769432,0.023483662,0.318036712,0.007575758,0
2.10737E-5,2.000095015,0.0271629,0.305267358,0.007575758,0
2.45698E-5,2.250069728,0.031527064,0.294293695,0.007575758,0
2.79267E-5,2.500279729,0.035680857,0.28471668,0.007575758,0
3.09015E-5,2.75023133,0.039332193,0.276237031,0.007575758,0
3.3587E-5,3.002150259,0.042604661,0.268455706,0.007575758,0
3.71712E-5,3.25270582,0.046937828,0.261372706,0.007575758,0
4.02356E-5,3.50054559,0.050611537,0.254988029,0.007575758,0
4.37058E-5,3.752955729,0.054737648,0.249002394,0.007575758,0
4.7217E-5,4.002787073,0.058876252,0.243515563,0.015151515,0
5.0763E-5,4.253908317,0.063019236,0.238427773,0.015151515,0
5.447E-5,4.501558648,0.067311487,0.233739026,0.015151515,0
5.77552E-5,4.754107758,0.071082569,0.2292498,0.015151515,0
6.22661E-5,5.006164241,0.076211358,0.225059856,0.022727273,0
6.56822E-5,5.250193537,0.080057794,0.221268955,0.022727273,0
6.89221E-5,5.506267252,0.083676328,0.217478053,0.022727273,0
7.25735E-5,5.754492471,0.087720538,0.213986433,0.022727273,0
7.40924E-5,6.004403028,0.089392277,0.210594573,0.03030303,0
7.6862E-5,6.253009529,0.092424948,0.207302474,0.03030303,0
7.9282E-5,6.503117414,0.095058377,0.204110136,0.03030303,0
8.20945E-5,6.754244036,0.098099665,0.201017558,0.03030303,0
8.39413E-5,7.003269604,0.100085722,0.198024741,0.037878788,0
8.66185E-5,7.250748266,0.102949143,0.195131684,0.037878788,0
8.97873E-5,7.506687138,0.106314982,0.192238627,0.045454545,0
9.23705E-5,7.752894014,0.109040126,0.189545092,0.045454545,0
9.45384E-5,8.005661093,0.111314448,0.186851556,0.045454545,0
9.73082E-5,8.25623276,0.114203305,0.184257781,0.053030303,0
9.985E-5,8.502812306,0.116837898,0.181763767,0.053030303,0
1.02168E-4,8.755606046,0.119227148,0.179269753,0.053030303,0
1.04024E-4,9.003236441,0.121130605,0.176875499,0.053030303,0
1.06555E-4,9.256010441,0.12371262,0.174481245,0.060606061,0
1.08247E-4,9.503202004,0.125431483,0.172186752,0.068181818,0
1.11089E-4,9.755093159,0.128301802,0.169892259,0.068181818,0
1.13456E-4,10.002322028,0.130678339,0.167697526,0.068181818,0
1.16244E-4,10.254200123,0.133460825,0.165502793,0.068181818,0
1.19332E-4,10.502038393,0.136521707,0.163407821,0.068181818,0
1.21679E-4,10.755478861,0.1388341,0.161312849,0.068181818,0
1.23946E-4,11.001457412,0.141056028,0.159317638,0.068181818,0
1.27364E-4,11.252536648,0.144384912,0.157322426,0.068181818,0
1.29863E-4,11.509274274,0.146801107,0.155327215,0.068181818,0
1.32554E-4,11.758606847,0.1493892,0.153431764,0.068181818,0
1.3559E-4,12.013327779,0.1522894,0.151536313,0.068181818,0
1.38694E-4,12.259989911,0.155234344,0.149740623,0.068181818,0
1.4142E-4,12.511972443,0.157803942,0.147944932,0.068181818,0
1.4335E-4,12.754058726,0.159613761,0.146249002,0.068181818,0
1.45799E-4,13.014112434,0.161899895,0.144453312,0.068181818,0
1.47778E-4,13.263545231,0.163737261,0.142757382,0.075757576,0
1.4992E-4,13.501857212,0.165716898,0.141161213,0.075757576,0
1.52202E-4,13.758499988,0.16781663,0.139465283,0.083333333,0
1.54614E-4,14.003822108,0.170023566,0.137869114,0.083333333,0
1.57541E-4,14.253589287,0.172686772,0.136272945,0.083333333,0
1.59923E-4,14.507876147,0.174841286,0.134676776,0.083333333,0
1.62321E-4,14.765428896,0.176998345,0.133080607,0.083333333,0
1.64478E-4,15.010989951,0.178930348,0.131584198,0.083333333,0
1.6661E-4,15.259309169,0.180829612,0.130087789,0.098484848,0
1.68957E-4,15.511074464,0.182910967,0.128591381,0.098484848,0
1.7109E-4,15.766233578,0.184793655,0.127094972,0.106060606,0
1.72748E-4,16.007039012,0.186251029,0.125698324,0.106060606,0
1.74922E-4,16.250698958,0.188154009,0.124301676,0.106060606,0
1.76539E-4,16.514157615,0.189563084,0.122805267,0.106060606,0
1.7841E-4,16.762682695,0.191188504,0.121408619,0.106060606,0
1.80742E-4,17.014216129,0.193204286,0.120011971,0.106060606,0
1.83345E-4,17.251195488,0.195443522,0.118715084,0.106060606,0
1.85273E-4,17.509122658,0.197093388,0.117318436,0.113636364,0
1.8848E-4,17.752395442,0.199823072,0.116021548,0.121212121,0
1.91436E-4,18.018097997,0.202323333,0.1146249,0.121212121,0
1.93093E-4,18.268071837,0.203717722,0.113328013,0.128787879,0
1.95429E-4,18.501526426,0.205675078,0.112130886,0.136363636,0
1.97887E-4,18.757302492,0.207724902,0.110833998,0.136363636,0
2.00326E-4,19.016604139,0.209748181,0.109537111,0.136363636,0
2.03369E-4,19.259406692,0.212258192,0.108339984,0.136363636,0
2.06325E-4,19.505052389,0.214680516,0.107142857,0.136363636,0
2.09093E-4,19.753725349,0.216936475,0.10594573,0.136363636,0
2.10613E-4,20.005441128,0.218168923,0.104748603,0.143939394,0
2.13178E-4,20.259828937,0.220240591,0.103551476,0.143939394,0
2.16538E-4,20.517710397,0.222938402,0.10235435,0.143939394,0
2.17839E-4,20.756644224,0.223977712,0.101256983,0.143939394,0
2.20724E-4,21.019668349,0.226272954,0.100059856,0.151515152,0
2.22659E-4,21.263834728,0.227804882,0.09896249,0.159090909,0
2.24811E-4,21.50997485,0.229500847,0.097865124,0.159090909,0
2.28336E-4,21.759464441,0.232263767,0.096767757,0.159090909,0
2.3333E-4,22.013333951,0.2361442,0.095670391,0.159090909,0
2.36868E-4,22.27229392,0.238869468,0.094573025,0.159090909,0
2.41058E-4,22.510773798,0.242072367,0.093575419,0.159090909,0
2.43868E-4,22.753464,0.244204809,0.092577813,0.159090909,0
2.46044E-4,23.023213875,0.245848127,0.091480447,0.159090909,0
2.50338E-4,23.271014366,0.249069972,0.090482841,0.159090909,0
2.53709E-4,23.523219439,0.251580263,0.089485235,0.159090909,0
2.56671E-4,23.752918772,0.253771548,0.08858739,0.159090909,0
2.59544E-4,24.011231459,0.255885406,0.087589785,0.159090909,0
2.61252E-4,24.271803146,0.257136279,0.086592179,0.159090909,0
2.64277E-4,24.508375195,0.259341709,0.085694334,0.159090909,0
2.67948E-4,24.775058299,0.262000184,0.084696728,0.166666667,0
2.70946E-4,25.017566791,0.264157731,0.083798883,0.166666667,0
